estado,anio,mes,mes_num,sexo,homicidios_total
Aguascalientes,2011,Junio,6,Mujer,2
Aguascalientes,2011,Julio,7,Hombre,3
Aguascalientes,2011,Julio,7,Mujer,1
Aguascalientes,2011,Agosto,8,Hombre,2
Aguascalientes,2011,Agosto,8,Mujer,1
Aguascalientes,2011,Septiembre,9,Hombre,5
Aguascalientes,2011,Septiembre,9,Mujer,1
Aguascalientes,2011,Octubre,10,Hombre,5
Aguascalientes,2011,Octubre,10,Mujer,1
Aguascalientes,2011,Noviembre,11,Hombre,2
Aguascalientes,2011,Diciembre,12,Hombre,3
Aguascalientes,2011,Diciembre,12,Mujer,2
Aguascalientes,2012,Enero,1,Hombre,3
Aguascalientes,2012,Febrero,2,Hombre,4
Aguascalientes,2012,Marzo,3,Hombre,2
Aguascalientes,2012,Marzo,3,Mujer,3
Aguascalientes,2012,Abril,4,Hombre,2
Aguascalientes,2012,Mayo,5,Hombre,3
Aguascalientes,2012,Mayo,5,Mujer,2
Aguascalientes,2012,Junio,6,Hombre,2
Aguascalientes,2012,Junio,6,Mujer,1
Aguascalientes,2012,Julio,7,Hombre,5
Aguascalientes,2012,Agosto,8,Hombre,2
Aguascalientes,2012,Septiembre,9,Hombre,1
Aguascalientes,2012,Septiembre,9,Mujer,1
Aguascalientes,2012,Octubre,10,Hombre,2
Aguascalientes,2012,Octubre,10,Mujer,1
Aguascalientes,2012,Noviembre,11,Hombre,4
Aguascalientes,2012,Noviembre,11,Mujer,4
Aguascalientes,2012,Diciembre,12,Hombre,3
Aguascalientes,2013,Enero,1,Hombre,1
Aguascalientes,2013,Enero,1,Mujer,1
Aguascalientes,2013,Febrero,2,Hombre,5
Aguascalientes,2013,Marzo,3,Hombre,3
Aguascalientes,2013,Abril,4,Hombre,4
Aguascalientes,2013,Abril,4,Mujer,1
Aguascalientes,2013,Mayo,5,Hombre,1
Aguascalientes,2013,Mayo,5,Mujer,1
Aguascalientes,2013,Junio,6,Hombre,3
Aguascalientes,2013,Julio,7,Hombre,3
Aguascalientes,2013,Julio,7,Mujer,3
Aguascalientes,2013,Agosto,8,Hombre,3
Aguascalientes,2013,Agosto,8,Mujer,1
Aguascalientes,2013,Septiembre,9,Hombre,2
Aguascalientes,2013,Septiembre,9,Mujer,2
Aguascalientes,2013,Octubre,10,Hombre,4
Aguascalientes,2013,Noviembre,11,Hombre,4
Aguascalientes,2013,Diciembre,12,Hombre,2
Aguascalientes,2014,Enero,1,Hombre,2
Aguascalientes,2014,Febrero,2,Hombre,3
Aguascalientes,2014,Marzo,3,Hombre,3
Aguascalientes,2014,Marzo,3,Mujer,1
Aguascalientes,2014,Abril,4,Hombre,1
Aguascalientes,2014,Mayo,5,Hombre,3
Aguascalientes,2014,Junio,6,Hombre,7
Aguascalientes,2014,Junio,6,Mujer,3
Aguascalientes,2014,Julio,7,Hombre,2
Aguascalientes,2014,Agosto,8,Hombre,2
Aguascalientes,2014,Septiembre,9,Hombre,2
Aguascalientes,2014,Octubre,10,Hombre,7
Aguascalientes,2014,Noviembre,11,Hombre,4
Aguascalientes,2014,Diciembre,12,Hombre,6
Aguascalientes,2015,Enero,1,Hombre,7
Aguascalientes,2015,Marzo,3,Hombre,4
Aguascalientes,2015,Marzo,3,Mujer,1
Aguascalientes,2015,Abril,4,Hombre,3
Aguascalientes,2015,Abril,4,Mujer,1
Aguascalientes,2015,Mayo,5,Hombre,3
Aguascalientes,2015,Mayo,5,Mujer,2
Aguascalientes,2015,Junio,6,Hombre,5
Aguascalientes,2015,Junio,6,Mujer,2
Aguascalientes,2015,Julio,7,Hombre,2
Aguascalientes,2015,Agosto,8,Hombre,1
Aguascalientes,2015,Septiembre,9,Hombre,4
Aguascalientes,2015,Octubre,10,Hombre,2
Aguascalientes,2015,Noviembre,11,Hombre,3
Aguascalientes,2015,Diciembre,12,Hombre,4
Aguascalientes,2015,Diciembre,12,Mujer,1
Aguascalientes,2016,Febrero,2,Hombre,3
Aguascalientes,2016,Febrero,2,Mujer,1
Aguascalientes,2016,Marzo,3,Hombre,6
Aguascalientes,2016,Abril,4,Hombre,4
Aguascalientes,2016,Abril,4,Mujer,1
Aguascalientes,2016,Mayo,5,Hombre,4
Aguascalientes,2016,Mayo,5,Mujer,1
Aguascalientes,2016,Junio,6,Hombre,3
Aguascalientes,2016,Julio,7,Hombre,1
Aguascalientes,2016,Agosto,8,Hombre,4
Aguascalientes,2016,Septiembre,9,Hombre,4
Aguascalientes,2016,Octubre,10,Hombre,5
Aguascalientes,2016,Noviembre,11,Hombre,2
Aguascalientes,2016,Diciembre,12,Hombre,5
Aguascalientes,2016,Diciembre,12,Mujer,1
Aguascalientes,2017,Enero,1,Hombre,5
Aguascalientes,2017,Febrero,2,Hombre,3
Aguascalientes,2017,Marzo,3,Hombre,3
Aguascalientes,2017,Abril,4,Hombre,4
Aguascalientes,2017,Abril,4,Mujer,1
Aguascalientes,2017,Mayo,5,Hombre,9
Aguascalientes,2017,Mayo,5,Mujer,2
Aguascalientes,2017,Junio,6,Hombre,13
Aguascalientes,2017,Junio,6,Mujer,1
Aguascalientes,2017,Julio,7,Hombre,2
Aguascalientes,2017,Julio,7,Mujer,2
Aguascalientes,2017,Agosto,8,Hombre,9
Aguascalientes,2017,Agosto,8,Mujer,1
Aguascalientes,2017,Septiembre,9,Hombre,10
Aguascalientes,2017,Octubre,10,Hombre,7
Aguascalientes,2017,Octubre,10,Mujer,1
Aguascalientes,2017,Noviembre,11,Hombre,5
Aguascalientes,2017,Diciembre,12,Hombre,5
Aguascalientes,2018,Enero,1,Hombre,9
Aguascalientes,2018,Febrero,2,Hombre,7
Aguascalientes,2018,Febrero,2,Mujer,1
Aguascalientes,2018,Marzo,3,Hombre,3
Aguascalientes,2018,Marzo,3,Mujer,1
Aguascalientes,2018,Abril,4,Hombre,8
Aguascalientes,2018,Abril,4,Mujer,1
Aguascalientes,2018,Mayo,5,Hombre,7
Aguascalientes,2018,Junio,6,Hombre,5
Aguascalientes,2018,Julio,7,Hombre,6
Aguascalientes,2018,Agosto,8,Hombre,4
Aguascalientes,2018,Agosto,8,Mujer,3
Aguascalientes,2018,Septiembre,9,Hombre,9
Aguascalientes,2018,Septiembre,9,Mujer,1
Aguascalientes,2018,Octubre,10,Hombre,1
Aguascalientes,2018,Octubre,10,Mujer,1
Aguascalientes,2018,Noviembre,11,Hombre,5
Aguascalientes,2018,Noviembre,11,Mujer,1
Aguascalientes,2018,Diciembre,12,Hombre,6
Aguascalientes,2019,Enero,1,Hombre,7
Aguascalientes,2019,Enero,1,Mujer,2
