estado,anio,mes,mes_num,homicidios_total
Baja California,1994,Junio,6,29
Baja California,1994,Julio,7,36
Baja California,1994,Agosto,8,34
Baja California,1994,Septiembre,9,27
Baja California,1994,Octubre,10,24
Baja California,1994,Noviembre,11,30
Baja California,1994,Diciembre,12,33
Baja California,1995,Enero,1,37
Baja California,1995,Febrero,2,25
Baja California,1995,Marzo,3,35
Baja California,1995,Abril,4,30
Baja California,1995,Mayo,5,27
Baja California,1995,Junio,6,38
Baja California,1995,Julio,7,13
Baja California,1995,Agosto,8,38
Baja California,1995,Septiembre,9,32
Baja California,1995,Octubre,10,37
Baja California,1995,Noviembre,11,47
Baja California,1995,Diciembre,12,28
Baja California,1996,Enero,1,23
Baja California,1996,Febrero,2,25
Baja California,1996,Marzo,3,34
Baja California,1996,Abril,4,36
Baja California,1996,Mayo,5,42
Baja California,1996,Junio,6,17
Baja California,1996,Julio,7,32
Baja California,1996,Agosto,8,28
Baja California,1996,Septiembre,9,34
Baja California,1996,Octubre,10,42
Baja California,1996,Noviembre,11,27
Baja California,1996,Diciembre,12,34
Baja California,1997,Enero,1,31
Baja California,1997,Febrero,2,20
Baja California,1997,Marzo,3,30
Baja California,1997,Abril,4,30
Baja California,1997,Mayo,5,26
Baja California,1997,Junio,6,33
Baja California,1997,Julio,7,21
Baja California,1997,Agosto,8,29
Baja California,1997,Septiembre,9,29
Baja California,1997,Octubre,10,23
Baja California,1997,Noviembre,11,23
Baja California,1997,Diciembre,12,35
Baja California,1998,Enero,1,32
Baja California,1998,Febrero,2,42
Baja California,1998,Marzo,3,38
Baja California,1998,Abril,4,41
Baja California,1998,Mayo,5,34
Baja California,1998,Junio,6,64
Baja California,1998,Julio,7,48
Baja California,1998,Agosto,8,65
Baja California,1998,Septiembre,9,66
Baja California,1998,Octubre,10,52
Baja California,1998,Noviembre,11,50
Baja California,1998,Diciembre,12,45
Baja California,1999,Enero,1,46
Baja California,1999,Febrero,2,53
Baja California,1999,Marzo,3,49
Baja California,1999,Abril,4,49
Baja California,1999,Mayo,5,57
Baja California,1999,Junio,6,47
Baja California,1999,Julio,7,58
Baja California,1999,Agosto,8,67
Baja California,1999,Septiembre,9,55
Baja California,1999,Octubre,10,53
Baja California,1999,Noviembre,11,54
Baja California,1999,Diciembre,12,45
Baja California,2000,Enero,1,60
Baja California,2000,Febrero,2,43
Baja California,2000,Marzo,3,35
Baja California,2000,Abril,4,18
Baja California,2000,Mayo,5,35
Baja California,2000,Junio,6,37
Baja California,2000,Julio,7,23
Baja California,2000,Agosto,8,45
Baja California,2000,Septiembre,9,25
Baja California,2000,Octubre,10,35
Baja California,2000,Noviembre,11,31
Baja California,2000,Diciembre,12,39
Baja California,2001,Enero,1,13
Baja California,2001,Febrero,2,24
Baja California,2001,Marzo,3,41
Baja California,2001,Abril,4,28
Baja California,2001,Mayo,5,50
Baja California,2001,Junio,6,36
Baja California,2001,Julio,7,31
Baja California,2001,Agosto,8,38
Baja California,2001,Septiembre,9,44
Baja California,2001,Octubre,10,27
Baja California,2001,Noviembre,11,39
Baja California,2001,Diciembre,12,26
Baja California,2002,Enero,1,42
Baja California,2002,Febrero,2,30
Baja California,2002,Marzo,3,38
Baja California,2002,Abril,4,34
Baja California,2002,Mayo,5,34
Baja California,2002,Junio,6,32
Baja California,2002,Julio,7,49
Baja California,2002,Agosto,8,32
Baja California,2002,Septiembre,9,19
Baja California,2002,Octubre,10,39
Baja California,2002,Noviembre,11,33
Baja California,2002,Diciembre,12,37
Baja California,2003,Enero,1,34
Baja California,2003,Febrero,2,32
Baja California,2003,Marzo,3,30
Baja California,2003,Abril,4,35
Baja California,2003,Mayo,5,44
Baja California,2003,Junio,6,29
Baja California,2003,Julio,7,54
Baja California,2003,Agosto,8,40
Baja California,2003,Septiembre,9,40
Baja California,2003,Octubre,10,47
Baja California,2003,Noviembre,11,27
Baja California,2003,Diciembre,12,34
Baja California,2004,Enero,1,33
Baja California,2004,Febrero,2,41
Baja California,2004,Marzo,3,33
Baja California,2004,Abril,4,30
Baja California,2004,Mayo,5,38
Baja California,2004,Junio,6,56
Baja California,2004,Julio,7,33
